Kernel,Machine&Compiler,DataType,Baseline tag,openSource,time phase,Matrix-all,Matrix,Time
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,roadNet-PA,0.01905980000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,roadNet-PA,0.01228640000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,scsd8-2r_A_07,0.01121160000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,scsd8-2r_A_07,0.003749000000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,scsd8-2r_A_08,0.01113240000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,scsd8-2r_A_08,0.004076000000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,scsd8-2r_A_09,0.01010680000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,scsd8-2r_A_09,0.003898600000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,amazon-2008,0.02516320000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,amazon-2008,0.02664200000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,web-BerkStan,0.02670860000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,web-BerkStan,0.04708540000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,patents,0.1652022000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,patents,0.1816308000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,08blocks,0.008196200000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,08blocks,0.002217600000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,1138_bus,0.01023580000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,1138_bus,0.003163800000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,12month1,0.1256566000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,12month1,0.2068080000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,130bit,0.01023300000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,130bit,0.003690600000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,144,0.01992180000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,144,0.01228300000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,145bit,0.01023500000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,145bit,0.004099800000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,162bit,0.01023600000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,162bit,0.003908800000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,176bit,0.01023600000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,176bit,0.003590000000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,192bit,0.01023700000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,192bit,0.003885800000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,208bit,0.01228500000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,208bit,0.005909200000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,2D_27628_bjtcai,0.01023620000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,2D_27628_bjtcai,0.008197800000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,2D_54019_highK,0.01024620000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,2D_54019_highK,0.06557040000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,333SP,0.08328520000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,333SP,0.1249362000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,3D_28984_Tetra,0.01023620000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,3D_28984_Tetra,0.04094200000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,3D_51448_3D,0.01094980000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,3D_51448_3D,0.06929140000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,3Dspectralwave,0.09156840000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,3Dspectralwave,0.1141718000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,3Dspectralwave2,0.02254020000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,3Dspectralwave2,0.04507980000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,3dtube,0.01229000000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,3dtube,0.05933080000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,3elt,0.008952600000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,3elt,0.003706400000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,3elt_dual,0.01083360000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,3elt_dual,0.003947600000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,494_bus,0.01085340000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,494_bus,0.003666000000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,598a,0.02045080000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,598a,0.01023680000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,662_bus,0.01097380000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,662_bus,0.003707000000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,685_bus,0.01124980000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,685_bus,0.003734800000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,ABACUS_shell_hd,0.009234000000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,ABACUS_shell_hd,0.004073600000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,ABACUS_shell_hd_E,0.01228400000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,ABACUS_shell_hd_E,0.004732000000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,ABACUS_shell_hd_K,0.009284000000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,ABACUS_shell_hd_K,0.003658400000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,ABACUS_shell_hd_M,0.009389800000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,ABACUS_shell_hd_M,0.003789000000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,ABACUS_shell_hd_Mzeros,0.01432900000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,ABACUS_shell_hd_Mzeros,0.003757400000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,ABACUS_shell_ld,0.009283200000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,ABACUS_shell_ld,0.003734800000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,ABACUS_shell_ld_E,0.01228340000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,ABACUS_shell_ld_E,0.004436600000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,ABACUS_shell_ld_K,0.009070400000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,ABACUS_shell_ld_K,0.004448400000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,ABACUS_shell_ld_M,0.01102840000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,ABACUS_shell_ld_M,0.004519800000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,ABACUS_shell_ld_Mzeros,0.01433000000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,ABACUS_shell_ld_Mzeros,0.004757600000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,ABACUS_shell_md,0.01019040000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,ABACUS_shell_md,0.004382600000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,ABACUS_shell_md_E,0.01228460000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,ABACUS_shell_md_E,0.003776200000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,ABACUS_shell_md_K,0.009450200000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,ABACUS_shell_md_K,0.003619200000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,webbase-1M,0.02043360000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,webbase-1M,0.3255060000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,germany_osm,0.1508906000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,germany_osm,0.4441340000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,com-Amazon,0.02922020000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,com-Amazon,0.04714440000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,mycielskian12,0.01023620000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,mycielskian12,0.008189400000
